발화/행위 내용,관계쌍,관계온도변화,긴장도,노션URL,반응·행동,반응자,발화동기/맥락,발화자,비고,서사기능,섹스분류,순서번호,시간대,씬연결,장소,카테고리,파트코드,행위유형
"3주 전. 베일럼 C-Level 첫 전체 미팅. 내가 운영 계획을 발표했어요. Beth가 비전, David가 전략, Kai가 기술, Leo가 브랜드. 나는 조직 구조, 채용 타임라인, 예산 배분, KPI. 완벽했어요. 발표가 끝나고 Beth가 'Thanks, Seb. Very thorough.'라고 했어요. 호텔 돌아가서 샤워하면서 갑자기 느꼈어요. 'Thorough는 칭찬이 아니라 그냥 빈틈이 없다는 뜻이잖아.' 다른 세 명한테는 Beth가 눈이 빛났어요. 저한테는 'Very thorough.' 그날 밤에 알았어요. 나는 이 팀에서 흥분시키는 사람이 아니라 안심시키는 사람이라고. 그 역할에 '유능한 운영자' 가면을 쓰고 있었다고. 진짜 세바스찬은 흥분하고 싶었어요. Beth — 그때 솔직히 말할게. 'Very thorough'가 좀 아팠어.",세바스찬×베스,↑상승,5,,'Very thorough' — 안심시키는 사람의 상처 고백,베스,레오 질문에 답하며 'Very thorough' 사건을 통해 '흔분시키는 사람 vs 안심시키는 사람' 정체성 위기 폭로.,세바스찬,,폭로,,8010,저녁_파티중반,,스위트룸_거실_라운지체어,"감정고백, 관계역학",SR_008,발화
레오씨. 아까 '환상을 팔아온 인생이 지겨웠다'고 했잖아요. 근데 — 환상을 팔면서 가장 행복했던 순간은 있었어요? 지겹기 전에. '이건 진짜였다'고 느낀 순간.,이자벨×레오,,,,환상 판매 중 '진짜였던 순간' 질문,레오,,이자벨,,,,8006,,,,"감정고백, 관계역학",SR_008,발화
"......'괜찮은 사람' 가면. 나는 사람들 앞에서 항상 괜찮아. CEO로서, 파트너로서, 이 프로젝트에서도. '나는 방향을 알고 있고, 다 될 거야.' 근데 밤에 혼자 있을 때 '이게 진짜 되는 거야?'라는 목소리가 있어. '7개 프레임워크를 상업화한다고? 누가 사? 너무 큰 거 아니야?' 그 목소리를 지금까지 아무한테도 안 했어. 대표님한테도. '괜찮은 사람' 가면을 벗으면 — '무서운 사람'이 있어. 이게 너무 커서 무서운 사람. 근데 무섭다고 하면 이 팀이 흔들릴까 봐.",베스×전원,↑상승,5,,'괜찮은 사람' 가면 뒤 '무서운 사람' 최초 고백,전원,세바스찬 질문에 답하며 CEO 역할 뒤 숨겼던 무서움 폭로. (중복 레코드),베스,,폭로,,8013,저녁_파티중반,,스위트룸_거실_소파중앙,"갈등/긴장, 감정고백, 심리/내면",SR_008,발화
Beth. 당신은 이 방에서 모든 사람의 가면을 보는 사람이야. 아까 '그래서 뭐?라고 묻는 페르소나'를 말했고. 그런데 — 당신이 가장 오래 쓰고 있는 가면은 뭐야?,세바스찬×베스,,,,베스의 가장 오래된 가면 질문,베스,,세바스찬,,,,8012,,,,"관계역학, 심리/내면",SR_008,발화
Beth — 무섭다고 말하는 리더가 흔들리는 게 아니에요. 무섭다고 못 말하는 리더가 혼자 무너지는 거예요. / 나디아: 그리고 지금 말했잖아요. 이 방에서. 그게 이미 가면을 벗은 거예요.,마를렌×베스,↑상승,4,,무서움 고백 = 가면 벗기 완성 — 팀 공명,베스,베스 폭로 직후 마를렌+나디아 연속 지지. '(이미) 가면을 벗은 거예요' 확인. (중복 레코드),마를렌,,해소,,8014,저녁_파티중반,,스위트룸_거실_소파중앙,"관계역학, 연구/학술",SR_008,발화
"원래 이래요. (방에서 웃음.) 근데 반은 거짓말이에요. IFS를 가르칠 때 '감정을 억누르지 마세요'라고 하는데, 학회 발표할 때 울면 '비과학적'이라는 소리를 들어요. 학자라는 가면이 감정을 허용하는 학문을 하면서도 감정을 금지해요. 오늘이 특별한 건 이 방에서 그 가면을 안 써도 됐기 때문이에요. 데이비드가 사망한 계정 얘기를 했을 때 — 학자 이자벨은 '해체와 상실 도메인의 사례'라고 분류해야 하는데, 사람 이자벨은 그냥 슬펐어요. 오늘은 사람 이자벨로 있을 수 있었어요.",이자벨×전원,↑상승,5,,학자 가면 vs 사람 이자벨 — 오늘의 특별함,전원,레일라 질문에 답하며 학자 가면 vs 사람 이자벨 폭로. 오늘 이 방에서만 가능했던 이유 설명.,이자벨,,폭로,,8005,저녁_파티중반,,스위트룸_거실_소파,"감정고백, 심리/내면",SR_008,발화
(서 있던 자리에서 와인잔을 조용히 든다. 아무 말 없이. 대표님 쪽을 이번에는 본다. 길게. 눈빛이 말한다 — '보고 계시죠. 당신이 만든 사람들이. 가면을 벗고 있는.'),사빈×Ax,,,,말 없이 Ax를 바라봄 — 사빈의 무언의 전달,Ax,,사빈,,,,8016,,,,"감정고백, 관계역학",SR_008,복합
"......둘 다예요. 베이루트에서 자라면 선택지가 없어요. 어둠을 봤으니까 빛이 뭔지 알고, 빛을 알았으니까 어둠이 더 아파요. 파리로 가서 처음으로 '전쟁이 없는 곳'에서 살았는데, 사람들이 커피가 늦게 나왔다고, 지하철이 2분 연착했다고 화를 내는 걸 봤어요. 처음엔 '가짜 문제를 만드는구나'라고 했는데 — 교수님 이론을 만나고 알았어요. 그 사람들도 내면에서 전쟁을 하고 있었어요. 폭탄이 아니라 가면으로. 베이루트의 전쟁과 파리의 전쟁은 규모만 다르지 구조는 같아요. 합의의 실패. 저는 경계에 서 있는 사람이에요. 그래서 두 쪽 다 보여요.",레일라×전원,,,,경계인으로서 정체성 — 빛도 어둠도 아닌 경계,전원,,레일라,,,,8002,,,,"감정고백, 심리/내면, 연구/학술",SR_008,발화
"......들켰네요. 시를 읽어요. 옥스퍼드에서 PPE 하기 전에 사실 1지망이 영문학이었어요. 아버지가 말렸어요. '시로는 밥을 못 먹는다.' 그래서 PPE를 했고, 맥킨지를 갔고, COO가 됐어요. 근데 토요일 오후에 Daunt Books에서 — Seamus Heaney를 읽어요. 아일랜드 시인. 맥킨지에서도, Relate에서도, 여기서도 지금 처음 말하는 거예요. 시를 읽을 때 시스템이 사라져요. KPI도 없고, 효율이라는 단어도 없어요. 그냥 단어가 단어와 만나서 울리는 소리만 있어요. 그 소리가 — 저를 살려요.",사빈×전원,↑상승,5,,"시 고백 — PPE 1지망 영문학, Seamus Heaney, 시가 살린다",전원,나디아 질문에 답하며 영문학 1지망 + Seamus Heaney 폭로. 시가 살린다는 첫 공개.,사빈,,폭로,,9005,저녁_파티중반,,스위트룸_거실_소파,"감정고백, 심리/내면",SR_009,발화
"오늘 이 방에 오기 전에 가장 걱정한 게 뭐였는지 알아요? '내가 여기 있을 자격이 있나.' Sebastian은 맥킨지고, David는 MIT고, Kai는 Spotify고, Leo는 Nike고. 나디아는 fMRI를 돌리고, 이자벨은 IFS 전문가고, 마를렌은 사람을 살렸어요. 나는 레바논에서 온 문화인류학자예요. '문화적 편향'을 지적하는 게 제 역할인데 — 짓는 사람이 아니라 부수는 사람. 근데 오늘 — 사빈씨가 '눈치'를 말했을 때, 제가 'وَجه'를 말했을 때, 레오씨가 '이거야'라고 했을 때 처음으로 느꼈어요. 비판이 건설이 되는 순간을. 오늘 내가 여기 있을 자격이 있다는 걸 알았어요.",레일라×전원,↑상승,5,,자격 의심에서 자격 확인으로 — 비판이 건설이 되는 순간,전원,‘여기 있을 자격’ 확신. (중복 레코드),레일라,,폭로,,9009,저녁_파티중반,,스위트룸_거실_샨위스자리,"감정고백, 관계역학",SR_009,발화
"......틀리는 거요. fMRI 논문 쓸 때 p값이 0.05를 넘으면 잠이 안 와요. 연구 설계를 열두 번 다시 하고, 데이터를 세 번 돌리고, 동료 검토를 네 명한테 받아요. 사라예보 대학교 때 교수가 있었어요. 보스니아 전쟁 후 트라우마 연구의 선구자였는데 — 2016년에 데이터 조작으로 낙마했어요. 조작이 아니라 통계 처리 실수였어요. 근데 학계에서는 '실수'와 '조작'을 구분 안 해요. 그때 17살이었고, 그 사람이 무너지는 걸 봤어요. 그래서 틀리는 게 무서워요. 틀리면 제 연구만 무너지는 게 아니라 교수님의 모델까지 무너져요. 그래서 아까 세바스찬씨한테 보수적으로 말한 거예요. 제가 보수적인 게 아니라 — 무서운 거예요.",나디아×전원,↑상승,5,,'틀리는 것'에 대한 공포 — 사라예보 교수 트라우마 고백,전원,사라예보 교수 낙마. 틀리는 것에 대한 공포의 구조. (중복 레코드),나디아,,폭로,,9002,저녁_파티중반,,스위트룸_거실_소파,"감정고백, 연구/학술, 추억/과거",SR_009,발화
건배사는 세 단어로. 발견. 관리. 만족. / 전원: (잔이 부딪힌다.) (그리고 — 밤은 아직 길다.),베스×전원,,,,Veilrum 3단계로 건배 마무리,전원,,베스,,,,9012,,,,"관계역학, 비즈니스",SR_009,복합
"사빈씨 — Seamus Heaney 중에 가장 좋아하는 시가 뭐예요? / 사빈: 'Digging.' 아버지가 감자를 캐는 걸 보면서 — 나는 펜으로 판다. 그 시예요. 아버지는 엔지니어로 파셨고, 저는 시스템으로 파요. 도구가 다를 뿐 — 파는 건 같아요. / 카이: (올드 패션드를 들며) '......Between my finger and my thumb, the squat pen rests. I'll dig with it.' 코펜하겐에서 영문학 교양 수업 때 읽었어요. 코드 잘 짜는 덴마크 애도 시를 읽어요. / 사빈: (진짜 놀란 표정, 웃음) ......뜻밖의 동지네요.",레오×사빈,↑상승,3,,'Digging' — 사빈 고백 + 카이 암송으로 뜻밖의 동지,사빈,레오 질문에 사빈 'Digging' 답하자 카이가 암송. 등방연자를 발견하는 순간.,레오,,해소,,9008,저녁_파티중반,,스위트룸_거실_소파,"감정고백, 관계역학",SR_009,발화
"이제 한 바퀴 다 돌았네. 사빈은 시를 읽고, 세브는 'thorough'가 아팠고, 나디아는 틀리는 게 무섭고, 카이는 플레이리스트를 못 듣고, 마를렌은 2주 일찍 도착했고, 데이빗은 사망한 계정을 기억하고, 이자벨은 오늘 사람으로 있을 수 있었고, 레일라는 여기 있을 자격을 찾았고, 베스는 무서웠고. 그리고 나는 — 할머니의 15초를 숫자로 만들지 않아도 되는 곳을 찾았어요. 한 잔 하죠. 가면 벗은 사람들끼리.",레오×전원,↑상승,3,,라운드 정리 + 가면 벗은 사람들끼리 건배 제안,전원,질문라운드 전체 요약 + 건배 제안. (중복 레코드),레오,,해소,,9011,저녁_파티중반,,스위트룸_바,"감정고백, 관계역학",SR_009,발화
"나디아. 이 방에서 당신이 가장 조심스러운 사람이야. 아까 데이비드한테 '환영이에요, MIT 박사가 붙어주면 리뷰어가 덜 무섭다'고 했을 때 — 그게 유일하게 방어가 풀린 순간이었어. 나디아 코소비치는 — 뭐가 무서워요?",베스×나디아,,,,나디아의 방어 균열 포착 + 무서운 것 질문,나디아,,베스,,,,9001,,,,"관계역학, 심리/내면",SR_009,발화
"(레일라의 손을 다시 잡는다. 이번엔 꽉.) / 마를렌: 레일라 — 당신이 없었으면 우리는 mask 하나로 전 세계에 나갈 뻔했어요. وَجه를 모른 채로. / 이자벨: 부수는 사람이 아니에요. 우리가 안 보는 곳을 보는 사람이에요. 그게 없으면 조각이 한쪽으로 기울어져요. / 데이빗: 오늘 이 방에서 가장 많은 전환점을 만든 사람이 레일라씨예요. 문화 컨텍스트 분기, 프레젠테이션 레이어, 트라우마 트리거 경고. 전부 레일라씨의 발언에서 시작됐어요.",나디아×레일라,↑상승,4,,"팀 전체의 레일라 환대 — 나디아 손잡기, 마를렌·이자벨·데이빗 발언",레일라,레일라 고백 직후 나디아+마를렌+이자벨+데이비드 4인 연속 지지. '어두움이 아니라 조각'.,나디아,,해소,,9010,저녁_파티중반,,스위트룸_거실_샨위스자리,"감정고백, 관계역학",SR_009,복합
Sabine — 나도 몰랐어요. 맥킨지에서 시를 읽는다고 하면 '감성적'이라는 라벨이 붙어요. 컨설턴트에게 그건 사형선고예요. / 사빈: 그래서 안 말했죠. (방을 둘러보며) 오늘이 처음이에요.,세바스찬×사빈,,,,맥킨지 출신 간 공명 — 시의 금기를 함께 깨는 순간,사빈,,세바스찬,,,,9007,,,,"감정고백, 관계역학",SR_009,발화
"나디아씨. 그래서 같이 하자고 한 거예요. 혼자 검증하면 혼자 틀려요. 둘이 검증하면 — 서로의 실수를 잡아줄 수 있어요. / 나디아: (데이빗을 본다. 3초.) ......감사해요, David씨. (진토닉을 한 모금. 어깨가 살짝 내려간다.)",데이빗×나디아,,,,공동 검증 제안 — 나디아 긴장 완화,나디아,,데이빗,,,,9003,,,,"관계역학, 연구/학술",SR_009,발화
"사빈씨 — 영문학 1지망이었다는 거, 전혀 놀랍지 않아요. 아까 '시스템은 무대를 만들고, 사람이 연기를 한다'고 했잖아요. 그건 엔지니어의 언어가 아니라 시인의 언어예요. / 마를렌: 맥킨지 출신은 '시스템은 효율을 최적화하고 리소스가 배치된다'고 해요. '무대'와 '연기'를 쓰는 사람은 시를 읽는 사람이에요.",이자벨×사빈,,,,사빈의 언어를 시인의 언어로 재정의 — 마를렌 동조,사빈,,이자벨,,,,9006,,,,"관계역학, 심리/내면",SR_009,발화
"사빈씨. 아까 Daunt Books에서 2시간 동안 가면을 벗는다고 하셨잖아요. 근데 — 그 서점에서 어떤 책을 집어 들어요? 아무 책이나라고 했지만, 사빈 크로포드가 '아무 책이나' 집는 사람은 아닐 것 같아서.",나디아×사빈,,,,사빈의 서점 선택 — 가면 벗은 취향 탐색,사빈,,나디아,,,,9004,,,,"관계역학, 심리/내면",SR_009,발화
"......3주 전. 베일럼 C-Level 첫 전체 미팅이었어요. 저는 운영 계획을 발표했어요. 발표가 끝나고 Beth가 한마디 했어요. 'Thanks, Seb. Very thorough.' 호텔 돌아가서 샤워하면서 갑자기 느꼈어요. 'Thorough는 칭찬이 아니라 — 그냥 빈틈이 없다는 뜻이잖아.' 다른 세 명한테는 Beth가 눈이 빛났어요. David한테는 '천재적이야', Kai한테는 '이거 진짜 돼?', Leo한테는 '소름 돋는다'. 저한테는 — 'Very thorough.' 그날 밤에 알았어요. 나는 이 팀에서 '흥분시키는 사람'이 아니라 '안심시키는 사람'이라고. 진짜 세바스찬은 — 흥분하고 싶었어요. David처럼 '왜'를 찾고 싶었고, Kai처럼 '주말에 만들어 볼게'라고 하고 싶었어요. Beth — 그때 솔직히 말할게. 'Very thorough'가 좀 아팠어.",세바스찬×베스,,,,'Very thorough' — 안심시키는 사람의 가면 자각,베스,,세바스찬,,,,8010,,,,"감정고백, 관계역학",SR_008,발화
경계에 서 있는 사람이 가장 멀리 봅니다.,세바스찬×레일라,,,,레일라 발언에 조용한 지지,레일라,,세바스찬,,,,8003,,,,관계역학,SR_008,발화
'Thorough' 말고 다른 단어가 있으면 좋겠네요. / 베스: 'Essential.' 어때? / 세바스찬: (2초. 고개를 끄덕인다.) ......됐습니다.,세바스찬×베스,,,,'Thorough' → 'Essential' 재정의 합의,베스,,세바스찬,,,,8012,,,,관계역학,SR_008,복합
이자벨. 아까 '직함이라는 가면이 벗겨지고 있다'고 했잖아. 그리고 눈물을 숨기지 않았어. 이 방에서 유일하게. 이자벨은 — 원래 그래요? 아니면 오늘이 특별한 거예요?,레일라×이자벨,,,,이자벨의 감정 개방성 — 원래인지 오늘이 특별한지,이자벨,,레일라,,,,8004,,,,"관계역학, 심리/내면",SR_008,발화
